country,sex,age,doses,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Afghanistan,Female,9,1,,,,,,0.72,0.69,0.7,0.71,0.71,0.72
Albania,Female,10,1,,,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86
Albania,Female,10,2,,0.6,,,,,,,,,
Algeria,Female,10,1,,,,,,0.72,0.9,0.9,0.9,0.9,0.9
Angola,Female,9,1,,,0.42,0.42,0.43,0.43,0.43,0.44,0.44,0.45,0.45
Angola,Female,9,2,,0.36,,,,,,,,,
Antigua,Both,9,2,0.63,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
Argentina,Both,11,1,,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Argentina,Both,11,2,0.8,0.8,,,,,,,,,
Armenia,Female,13,1,,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Armenia,Female,13,2,0.83,0.83,,,,,,,,,
Australia,Female,12,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Australia,Male,12,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Austria,Both,9,2,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
Azerbaijan,Female,11,1,,,,,0.81,0.77,0.77,0.81,0.81,0.81,0.81
Bahamas,Both,11,2,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
Bahrain,Female,11,2,,,,0.65,0.52,0.59,0.65,0.65,0.65,0.65,0.65
Bangladesh,Female,10,1,,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Barbados,Both,11,2,0.33,0.36,0.39,0.42,0.45,0.48,0.51,0.54,0.57,0.6,0.63
Belarus,Female,11,1,,,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86
Belarus,Female,11,2,0.6,0.68,,,,,,,,,
Belgium,Female,12,2,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
Belize,Female,11,1,,,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81
Belize,Female,11,2,0.7,0.7,,,,,,,,,
Benin,Female,9,1,,,0.72,0.68,0.68,0.68,0.72,0.72,0.77,0.77,0.77
Bhutan,Female,12,1,,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Bhutan,Female,12,2,0.9,0.9,,,,,,,,,
Bolivia,Female,10,1,,,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81
Bolivia,Female,10,2,0.72,0.72,,,,,,,,,
Bosnia,Female,10,1,,,0.69,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86
Botswana,Female,9,1,,,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Botswana,Female,9,2,0.9,0.9,0.9,,,,,,,,
Brazil,Both,11,1,,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Brazil,Both,11,2,0.9,0.9,,,,,,,,,
Brunei,Female,12,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Bulgaria,Female,10,1,,,,0.69,0.86,0.86,0.86,0.86,0.86,0.86,0.86
Bulgaria,Female,10,2,0.08,0.08,0.08,,,,,,,,
Burkina Faso,Female,9,1,,,0.72,0.72,0.72,0.72,0.81,0.81,0.81,0.81,0.81
Burkina Faso,Female,9,2,,0.66,,,,,,,,,
Burundi,Female,10,1,,,0.63,0.63,0.68,0.68,0.72,0.72,0.72,0.72,0.72
Burundi,Female,10,2,,0.57,,,,,,,,,
Cabo Verde,Female,10,1,,,0.72,0.81,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Cabo Verde,Female,10,2,,0.85,,,,,,,,,
Cambodia,Female,9,1,,,0.77,0.72,0.72,0.81,0.81,0.81,0.81,0.81,0.81
Cameroon,Female,9,1,,,0.86,0.86,0.9,0.9,0.9,0.9,0.9,0.9,0.9
