iso,year,mean_cases,ub_cases,lb_cases,mean_deaths,ub_deaths,lb_deaths
AFG,1975,1356860.573,2560909.7,45571.975,104306.6787740026,196866.2003764534,3503.2791518969702
AFG,1976,530560.862,704324.65,505642.3,40786.09291471536,54143.93083714565,38870.514782544175
AFG,1977,546056.956,558426.85,526901.525,41977.332553682856,42928.25012443496,40504.78671673151
AFG,1978,557652.367,567892.125,547484.15,42868.71287270517,43655.87934336768,42087.046012138686
AFG,1979,565887.36,575912.4500000001,556385.725,43501.765956160896,44272.43013722593,42771.34161522692
AFG,1980,565460.684,574290.225,556562.0,43468.96586058868,44147.7239549245,42784.89249891148
AFG,1981,559234.981,568113.075,551051.9,42990.37401711904,43672.86455255845,42361.311592995786
AFG,1982,552853.0839999999,560384.125,544360.275,49962.49292896871,50643.08890211205,49194.97996415078
AFG,1983,539794.185,548243.325,531683.275,48354.75795301819,49111.63183377546,47628.182712440685
AFG,1984,525283.438,533468.275,517604.525,46594.2062802692,47320.22571275011,45913.06381422739
AFG,1985,514694.578,522075.325,507997.825,45557.81439594316,46211.115822268686,44965.05619861575
AFG,1986,504341.50500000006,511416.075,497218.1,44479.06065883142,45102.98358614462,43850.83085828699
AFG,1987,482648.292,489881.475,474922.45,42330.58725357889,42964.97235175013,41652.99358069304
AFG,1988,471856.078,480854.0,463480.1,41086.48165273692,41869.96834370577,40357.150226342266
AFG,1989,474304.869,483439.575,464846.825,40647.99728875606,41430.84294139384,39837.441521788096
AFG,1990,498137.344,508379.625,487118.65,42204.19452746067,43071.96167026881,41270.64655998573
AFG,1991,535525.2819999999,546151.7,524917.85,44493.875529378245,45376.766656477535,43612.56184549069
AFG,1992,570380.902,581681.375,558101.1749999999,46131.43933202686,47045.40240967336,45138.27585280091
AFG,1993,630418.307,643661.1,616549.925,50431.44161700944,51490.82256234363,49322.01555912153
AFG,1994,693748.651,707473.4500000001,679869.025,54944.9876704456,56031.99362101191,53845.7194003868
AFG,1995,746720.426,759952.55,733704.275,58595.46579331383,59633.796127155394,57574.08295159
AFG,1996,789180.785,802097.825,776033.675,61195.24712454311,62196.86990850079,60175.784080440295
AFG,1997,836285.466,848642.6,823473.9249999999,63992.23677228437,64937.79983287072,63011.90266578462
AFG,1998,862282.1959999999,873608.925,850615.675,65072.78845619835,65927.5687630826,64192.365484954746
AFG,1999,880948.5049999999,892059.025,870358.925,65507.63749800081,66333.81963287406,64720.192642871545
AFG,2000,900264.514,910947.875,889649.425,66177.52931103455,66962.85231857661,65397.22490881446
AFG,2001,927445.784,939629.05,914140.175,66825.82798333518,67703.67642691731,65867.11066143132
AFG,2002,945736.061,960082.2,930280.925,66452.73798905445,67460.77845133048,65366.77315642744
AFG,2003,972793.262,989918.675,955905.775,67084.93778640538,68265.92588588041,65920.35733646007
AFG,2004,999840.678,1019790.75,979388.6,67614.05579422919,68963.17602006871,66230.98749802218
AFG,2005,1022276.628,1044936.1,1001656.35,67565.42676277776,69063.06140878788,66202.56876047477
AFG,2006,1038775.66,1061312.275,1015792.05,67166.95424967636,68624.16570248184,65680.84022062566
AFG,2007,1060279.184,1085426.3,1036621.575,67085.05910013102,68676.14547484745,65588.21551225125
AFG,2008,1073446.787,1098220.925,1048179.725,65741.9792212429,67259.24200999463,64194.527884946845
AFG,2009,1082881.107,1109434.975,1056232.3,64649.541539226535,66234.84520848072,63058.56987670464
AFG,2010,1091375.265,1123721.55,1064323.225,63468.10016719814,65349.17382009676,61894.909313869575
AFG,2011,1096913.557,1125093.625,1065598.725,61953.8762805988,63545.49162285576,60185.20890011557
AFG,2012,1088360.695,1123938.4,1051761.9,59948.96122474451,61908.64836459514,57933.03052051471
AFG,2013,1090056.271,1133436.325,1042184.725,58459.78935202634,60786.26449499584,55892.43519832886
AFG,2014,1090052.829,1143072.9,1041432.575,56829.58599246019,59593.771914517776,54294.783245144674
AFG,2015,1092410.0180000002,1146466.65,1042995.325,55423.531501160825,58166.10013119205,52916.47211047544
AFG,2016,1099052.722,1153891.95,1044139.7,54041.42977340151,56737.924881840496,51341.30614634019
