iso,year,mean_cases,ub_cases,lb_cases,mean_deaths,ub_deaths,lb_deaths
AFG,1975,1354569.603,2558859.7,41513.9,80304.65158308808,136213.45904737868,3981.2197447962744
AFG,1976,516743.811,697640.65,475720.875,41409.77433636798,53451.70092666528,38377.43248518881
AFG,1977,526431.4539999999,559537.1499999999,493032.35,42102.58727767028,44326.67638166367,39700.62494565502
AFG,1978,527476.117,556632.85,498182.05,42168.18891522779,44179.31687701405,40001.87422377356
AFG,1979,527591.32,558380.125,497264.45,42098.54140052368,44210.08793005263,39872.810551589326
AFG,1980,517511.191,546405.1,481789.97500000003,41229.15583078707,43229.073074699,38580.8379372451
AFG,1981,511430.36399999994,544406.475,478323.25,40967.02728433622,43227.68863545356,38528.14602261635
AFG,1982,527710.012,557995.475,500624.175,46647.01998867042,48895.597628491625,44486.39615478226
AFG,1983,498853.37799999997,527063.225,470659.45,42005.4101934468,44050.067435609795,39791.3077697408
AFG,1984,478949.129,511192.25,450453.325,38567.182314108075,40784.798451198505,36451.91708599491
AFG,1985,450671.686,479196.69999999995,421140.525,36047.04319213444,38014.37305582529,33862.452931369255
AFG,1986,446611.851,477557.55,415522.1,35633.21143165515,37769.12067643665,33351.64618151826
AFG,1987,401259.07499999995,434330.22500000003,359065.1,28659.120837327853,30753.02493737935,25795.537007765815
AFG,1988,327947.788,386348.325,264815.77499999997,22516.4076353913,26088.237237656478,18376.60411818948
AFG,1989,336045.009,411298.32499999995,242889.0,24252.61261842304,29064.800615601886,17793.56914984409
AFG,1990,422272.07500000007,513278.575,345952.05,31156.15495888579,36823.327565797415,25914.825332655393
AFG,1991,441117.11399999994,506495.625,377583.47500000003,32247.9008693669,36332.91712837628,27933.28576472358
AFG,1992,472140.10399999993,536656.575,402973.2,32793.95086089644,36674.47294999584,28276.00800738059
AFG,1993,499942.15,580135.0499999999,424004.75,33211.12631820696,37845.60322730727,28470.787611203108
AFG,1994,508063.588,598168.35,411669.95,30448.18462000129,35211.87622078846,24973.81838799541
AFG,1995,385703.409,527400.425,249262.19999999998,22372.71533952344,29832.03673235636,14708.327815963321
AFG,1996,407065.639,585572.975,230632.74999999997,22763.231747562742,31725.66366818399,13300.637039294626
AFG,1997,527535.42,726009.15,348591.325,28906.683971454662,38262.60151856988,19787.621481718274
AFG,1998,591022.285,748308.925,445835.75,35771.82358406818,43940.701016846084,27542.60703375773
